chain,chain_index,sample,score
ZQSGBOTOKO,25 16 18 6 1 14 19 14 10 14,0.9865595025689462 0.2615566697840215 0.4180182550001801 -0.5235426576421893 -0.9138317243939231 0.08819480029362214 0.49453704842480395 0.12811874627243314 -0.21209395484950933 0.12525273468970322,3.5255908197535146
HKBVKAUNEE,7 10 1 21 10 0 20 13 4 4,-0.3856514348462139 -0.20057474306408896 -0.8751149488111236 0.6628800421625458 -0.19529421810564296 -0.981806888780409 0.5822237677662729 0.03150982060987051 -0.6662584718800815 -0.6474148913227422,3.9718054276071553
LDCIBSEEIH,11 3 2 8 1 18 4 4 8 7,-0.08107360896373117 -0.7217831789293612 -0.8227870374540918 -0.3140687624126548 -0.85488562040074 0.4232291709037075 -0.6316126457124338 -0.6822952750995359 -0.31183586647003025 -0.4274403340538595,4.079298739422395
ALIXSYOVUY,0 11 8 23 18 24 14 21 20 24,-0.9868898318326946 -0.09572464532829139 -0.33020273705318104 0.7862606148978446 0.4512129815396677 0.9004285740793012 0.145708441438686 0.6493245188072001 0.5450989699914193 0.855916121684688,4.0329506816931975
WMQFQOPLST,22 12 16 5 16 14 15 11 18 19,0.7014946255658796 -0.06298471701079844 0.286792684066421 -0.5868004892512169 0.2536308881894631 0.12299400573502695 0.17090269045118567 -0.14560553909073803 0.4134834641789582 0.5246797845701088,3.259594050042072
VUSTOCNZXQ,21 20 18 19 14 2 13 25 23 16,0.6574524763219243 0.5677468170753281 0.3933031963363791 0.5087437729005928 0.0891427506922573 -0.7815267801127679 0.047064985419439376 0.9252768524270549 0.836561732766606 0.23582600249667363,3.8939872160045437
XMIMOTHAHP,23 12 8 12 14 19 7 0 7 15,0.8277574700377592 -0.0387620732797227 -0.37091877363226544 -0.031417693786536915 0.14171748963702813 0.537757189060245 -0.43874599285203364 -0.9923435168272243 -0.4366899726605069 0.2261000860238669,3.56954433643325
SBHCVHEDFI,18 1 7 2 21 7 4 3 5 8,0.40843291100180656 -0.8698947908674601 -0.44348000982694535 -0.8434869947753976 0.6540769467228915 -0.43965877546501075 -0.6289466473774208 -0.7623389829203251 -0.55156692804823 -0.34112219256738663,4.391153106342738
QHWEPQLCPC,16 7 22 4 15 16 11 2 15 2,0.2680619747800286 -0.4156099859483553 0.7180640256680806 -0.6603283768650978 0.2157796059817083 0.2658631035663135 -0.1151028759466155 -0.769581687704004 0.2088886608328362 -0.8401840339031674,3.6744942021524634
VECGJDSVPY,21 4 2 6 9 3 18 21 15 24,0.6868877886597191 -0.6287614943327511 -0.8038443055386433 -0.5149497920981632 -0.3027416665521778 -0.7094068537616764 0.44836705793223763 0.6326300571841261 0.1591879791820041 0.8792774065663418,4.264867171090696
SIPMEKEEXE,18 8 15 12 4 10 4 4 23 4,0.3964347419551981 -0.3369495019103055 0.22656828184147249 -0.05426348306000617 -0.6795854943624009 -0.1910513163336487 -0.646184459344161 -0.6753242853414945 0.7782407651285144 -0.6498723970923614,3.8626728716038916
RFNDMTFFZX,17 5 13 3 12 19 5 5 25 23,0.37858465857302326 -0.5631550150128568 0.0385164556912263 -0.7345007637598879 -0.055520323268960725 0.4835021331755378 -0.5973937356518122 -0.5465360126787029 0.9255928144834291 0.8347840194408747,4.047481077951286
MIFIIASGHO,12 8 5 8 8 0 18 6 7 14,-0.03959710361732749 -0.3173970613128154 -0.5763247315997684 -0.37586081657887793 -0.36697905497157324 -0.9947471425848298 0.44336299258289014 -0.46496424554734483 -0.3964588993447806 0.09552469880751113,3.7680468167937957
BROLUQIUIJ,1 17 14 11 20 16 8 20 8 9,-0.920866484185072 0.32911628598280385 0.13933647641746538 -0.12586819092922252 0.5752217605618593 0.24285525131299135 -0.33100466538128037 0.5557456397236333 -0.32675329456058644 -0.2705228049172337,3.5270072398010446
OWXZLNWQWF,14 22 23 25 11 13 22 16 22 5,0.11077454334927994 0.7221385448650897 0.7922393498236582 0.9271890797534956 -0.09604718528928968 0.0023948278464034356 0.7349508568349956 0.27766626888018897 0.7204328965414302 -0.6012125278391434,3.697440984389481
GFZNKNSJHA,6 5 25 13 10 13 18 9 7 0,-0.5096789008376583 -0.5699359484779021 0.9880864531819877 0.04534675824077006 -0.20048801740588473 0.06643412299947848 0.42802191149726765 -0.23246570894344543 -0.4185369744013119 -0.9467030744200435,3.70852324151349
WKCLGCYAGO,22 10 2 11 6 2 24 0 6 14,0.7014821221481382 -0.1544979449843369 -0.7973793159691367 -0.0816566784898245 -0.48660596807932976 -0.8257560739456964 0.8948250008210663 -0.9560686571289014 -0.4920370093279991 0.09673653571018814,3.827185378564423
UNEMRKZXIW,20 13 4 12 17 10 25 23 8 22,0.5852255569347737 0.04581000487677733 -0.656288207854681 -0.03808139792888077 0.3199657147731163 -0.16017965652221178 0.9458885756083579 0.7735373135050518 -0.36486666865276396 0.6969651536667996,3.723541661048007
RSIHXXIMSX,17 18 8 7 23 23 8 12 18 23,0.35591466970452923 0.39694992388362094 -0.3273266097331904 -0.4083932485471484 0.799541870756026 0.7799688392172495 -0.31564161425107984 -0.04073871110322114 0.45048717991060006 0.8158535602429557,3.916773141401731
KINWLMLHTK,10 8 13 22 11 12 11 7 19 10,-0.15409478118115238 -0.3729696729685299 0.0007660837505334417 0.7488277947136297 -0.14383169124553485 -0.006614255398097013 -0.10297609299201738 -0.41393576854879743 0.5191540580362275 -0.20900679693271185,2.894954004681946
BPVPOOXTMD,1 15 21 15 14 14 23 19 12 3,-0.8649184851638074 0.16767556369778358 0.6910858165399993 0.21966164584866665 0.140706221365829 0.1335274980375165 0.8429369744877298 0.5027801931677851 -0.026023253902892174 -0.7607288957667404,3.419318065704442
RFHAQTOBKI,17 5 7 0 16 19 14 1 10 8,0.36207377039342825 -0.6094407854804156 -0.41763681995885693 -0.9933111382389257 0.2802816792927174 0.5331503261661448 0.15170848030547113 -0.8658722725347661 -0.1611293486377563 -0.3659115572626255,3.9061600252610202
DWJPDOKCCC,3 22 9 15 3 14 10 2 2 2,-0.702651075844352 0.7345959017168553 -0.26969450382097837 0.22846338188419035 -0.7242555194996729 0.10304889583730437 -0.20137851731802114 -0.83544691325079 -0.7784027167757228 -0.7849624824138581,3.837903927230752
NPYYNQQOKQ,13 15 24 24 13 16 16 14 10 16,0.015571216603763371 0.18675978696001772 0.8680353661896159 0.8653069237628697 0.024608826206292234 0.26025452650745673 0.3051622270888297 0.1497473318586635 -0.15859391099059783 0.27447256605129144,2.8199748875449377
SCAFFXCEUX,18 2 0 5 5 23 2 4 20 23,0.44046793357328773 -0.788891655842924 -0.9782345664919714 -0.6151512502229983 -0.602400141205939 0.801046051035923 -0.8247697475176834 -0.6753165981823797 0.6029764628651642 0.7848024453656881,4.56201823061118
HVKAZAYKZZ,7 21 10 0 25 0 24 10 25 25,-0.39109042201708544 0.6577052149289924 -0.19924675170518813 -0.9680884561722161 0.971571389523751 -0.9780121350279194 0.8847387305901664 -0.18507914298734396 0.9908573171593436 0.9625442879824415,3.970910636764732
WLTASJGQPJ,22 11 19 0 18 9 6 16 15 9,0.7145215500076911 -0.12266549493462797 0.49909151105144844 -0.966548006553386 0.4008331150375477 -0.30684091550292303 -0.5130936002771618 0.27790252598903686 0.17018983124346665 -0.2964647404256944,3.746130783086063
QQGXZCEGDD,16 16 6 23 25 2 4 6 3 3,0.2452938726541669 0.2597062931521066 -0.5136242620849096 0.8074623629154782 0.9607468414589462 -0.8120474834730007 -0.6845373574313616 -0.5246999974587334 -0.6930788792199345 -0.7128960388119121,4.31342726654448
FSFURTJIZO,5 18 5 20 17 19 9 8 25 14,-0.6067220517672791 0.39218220914482904 -0.602077087059524 0.5924657882383901 0.3585671034064146 0.5266950439846245 -0.30675002503963444 -0.35998907182646067 0.97648473077965 0.09239469127772604,4.06410659329952
GYQQITXBBV,6 24 16 16 8 19 23 1 1 21,-0.476948143317649 0.8599103903521017 0.2875789014301644 0.26322746762643545 -0.37159029956975576 0.48643957940443405 0.8014541283356353 -0.8563678318260979 -0.8836273857990318 0.6647351185730817,4.231979880660155
FUEDPMLVAY,5 20 4 3 15 12 11 21 0 24,-0.5753054932534538 0.6097963516814213 -0.6263569951695473 -0.7205803032338276 0.22790585432222477 -0.06784534329698166 -0.13662648319513737 0.6330420091448503 -0.982718245827608 0.8852625729476409,4.026108416631228
RVBUUHXKIP,17 21 1 20 20 7 23 10 8 15,0.3304471549182093 0.6214836644487067 -0.9052664846161058 0.5509067362391915 0.5736633798712518 -0.4105869268642328 0.8263363509521795 -0.17761966385701156 -0.3218843297609373 0.21213303049381071,3.997528223387232
CFSXBGUUVS,2 5 18 23 1 6 20 20 21 18,-0.841976859846947 -0.5707495753185832 0.4037214952419559 0.7706895953097674 -0.8944694349650124 -0.49324035033085645 0.6131629558185336 0.5743065936506775 0.6451758645260262 0.42603726229408356,4.489943091783719
DNCHAITFLA,3 13 2 7 0 8 19 5 11 0,-0.7146648110034117 0.05701414195244148 -0.8150311692724748 -0.4542992000436634 -0.9557702378556276 -0.375385279859362 0.5206672268369241 -0.6046757284380411 -0.11915328078450282 -0.9568100046714496,4.06360682468436
HDZFJXDEEM,7 3 25 5 9 23 3 4 4 12,-0.45747656084544674 -0.701992233487913 0.9463427180111275 -0.5677149788590907 -0.24720056371706112 0.8020578982321904 -0.7382813756057949 -0.6251951970716212 -0.6467256471902787 -0.04205247496662934,4.211811265117554
ITTZMRCOJD,8 19 19 25 12 17 2 14 9 3,-0.3307602318598284 0.5185422380095135 0.49613745795866615 0.9744609582172874 -0.07377559574252723 0.37718995405052946 -0.8070190735436416 0.07828572691544955 -0.2454613181877725 -0.7482052537822619,3.7996215776086335
UJZNLWMGFS,20 9 25 13 11 22 12 6 5 18,0.5679007849869204 -0.2939756147311887 0.9998043924315327 0.05298913995182275 -0.1230500631201874 0.7018972720740775 -0.06617945217517618 -0.4951728578711039 -0.5630976958121356 0.3867586778121799,3.7266073338562298
GFUEBTFORE,6 5 20 4 1 19 5 14 17 4,-0.5382662585242557 -0.5426055286682976 0.5505319095467205 -0.6720734801531107 -0.8955858040297773 0.5338885641518081 -0.550798819944426 0.10373438474951446 0.3181568576191147 -0.6633858229510834,4.253771403751703
FMJQHSVIYQ,5 12 9 16 7 18 21 8 24 16,-0.5456426162887751 -0.013796560763728927 -0.2920020119805675 0.2970799657506573 -0.4148121037990655 0.4319404893504535 0.6483509012373647 -0.3280421021121154 0.9150555975199595 0.2690602887888469,3.765024381995396
VHVTJRYPZV,21 7 21 19 9 17 24 15 25 21,0.621296518778427 -0.39406465673411306 0.6346957196969143 0.5158903065501623 -0.2840278635169158 0.34089559405802894 0.9070805418330825 0.16357891289408166 0.9776939304820405 0.647038507954085,4.185118637152662
WUETSZSJNZ,22 20 4 19 18 25 18 9 13 25,0.7358667600161828 0.5995037646651091 -0.6775152066773742 0.4964606328476737 0.4588744817397654 0.972552462615206 0.42875995621505214 -0.24621495929836223 0.05124208660139784 0.9553537895583224,4.193892433346566
ODFZHFAGPC,14 3 5 25 7 5 0 6 15 2,0.12445460968120559 -0.7165818597199687 -0.6046548193874179 0.9828797096115571 -0.41887686733052787 -0.6005782795574266 -0.9371822729690666 -0.5216230727180078 0.20235908568040117 -0.8201809932189501,4.1977110600855525
VTAUFZTFBJ,21 19 0 20 5 25 19 5 1 9,0.636655715121345 0.48683560397032477 -0.9878268044576592 0.6023307444701838 -0.550225246566562 0.9627539763386994 0.4993717736955259 -0.5699458425261978 -0.8627866475878252 -0.29653402811521734,4.516885201273649
MCJPGREACS,12 2 9 15 6 17 4 0 2 18,-0.020315402672035132 -0.8406248672340129 -0.2489435088625036 0.2238439369174292 -0.4950845943829074 0.37840850549348515 -0.629237973323421 -0.9928333502334727 -0.7940727092692961 0.45888405605214144,3.968485497859309
ZFZMBURMYY,25 5 25 12 1 20 17 12 24 24,0.9269747360849956 -0.6144633741657166 0.9431932801692287 -0.03709554383893998 -0.8470514002469445 0.5743356890593077 0.34237698702343855 -0.048158388789351525 0.8972433820011627 0.922993058996763,3.8781082304887247
EDYGZILUBM,4 3 24 6 25 8 11 20 1 12,-0.6193522198444286 -0.7649451364454372 0.8517077944555906 -0.4737915224056304 0.9569738938250656 -0.3742037391277995 -0.14960276507837977 0.601251211567498 -0.9123276439792847 -0.04660069478691242,4.061447106453187
IDAIMWXZPA,8 3 0 8 12 22 23 25 15 0,-0.32065426855425416 -0.7434309820506448 -0.9500229270000919 -0.37969632453009705 -0.07129449522220899 0.7016842380339574 0.8274878758638993 0.9279836953243024 0.18684395581720747 -0.980151557355676,3.9277284037572326
OOCYATVZVA,14 14 2 24 0 19 21 25 21 0,0.13804007431451404 0.11142759009555658 -0.8243711703870344 0.8777035461291818 -0.9903677052426823 0.498242492253371 0.6652157927906821 0.9591762815186495 0.6621900787311896 -0.9437781059166805,4.040008337994205
PYEUOASDLN,15 24 4 20 14 0 18 3 11 13,0.18763480281575617 0.8805963854678136 -0.6295218539795449 0.5741429811866623 0.08870583642489138 -0.9853697665215275 0.41908236091662565 -0.709019114992067 -0.1213491804543203 0.01727358091593323,3.6431351569949126
WICCAIDGSQ,22 8 2 2 0 8 3 6 18 16,0.7533316981204394 -0.365452826518619 -0.8079880921571236 -0.8400461153904331 -0.9385558185896885 -0.32567415703468305 -0.7026655963019168 -0.4645110391225644 0.3964814071894953 0.2918246387753529,4.242509963956756
NMNNIRKQYX,13 12 13 13 8 17 10 16 24 23,0.05620891713878162 -0.015268033067264541 0.050707166085761646 0.06994833499473496 -0.31112221079187385 0.3777648709391612 -0.1927469092724703 0.25353309248395517 0.8853262514776135 0.8184810402655094,2.8268501524386385
EWLLBBJFSQ,4 22 11 11 1 1 9 5 18 16,-0.6640152804888537 0.7566137796360837 -0.0850016527982933 -0.09985809135944401 -0.9022512313785485 -0.9206206185851715 -0.287307293304792 -0.6143368573215102 0.4488465260936789 0.2623001467841266,3.8344417598222127
ZRDEKJUVMT,25 17 3 4 10 9 20 21 12 19,0.9392027916208048 0.37375463915814344 -0.740767483665246 -0.6304609897501052 -0.2004398441987829 -0.2905604790365004 0.5415318605834711 0.6661061694216392 -0.03749636090556496 0.5246971833434693,4.0045992172062945
FFBXTEFLZI,5 5 1 23 19 4 5 11 25 8,-0.6003273741924253 -0.5487634770911871 -0.8607054473991693 0.816577756813599 0.4881040376141128 -0.6505761532348744 -0.5477889887815863 -0.12276420963257428 0.990618944763187 -0.35315481972422136,4.329155274057808
WNJBMUCISJ,22 13 9 1 12 20 2 8 18 9,0.7273293229594366 0.004854815794665734 -0.2537973472007571 -0.8607722574118306 -0.0672061811883049 0.6054560270211173 -0.8078444187551046 -0.3382451189596696 0.43663512205887955 -0.2666434415912129,3.6632603172524445
NRXGERHYVX,13 17 23 6 4 17 7 24 21 23,0.05717128154674622 0.32442182928630237 0.8429326309808942 -0.5258124314207511 -0.6254285362350351 0.3320068536890475 -0.39602336926029325 0.9188052432603129 0.6627173363458247 0.8212328274439591,4.121933395249187
KUVJZBVGOT,10 20 21 9 25 1 21 6 14 19,-0.18734418489465043 0.6072346809895881 0.6223648621250302 -0.2808445433669806 0.9830235890339598 -0.8719876599018335 0.6636473187330736 -0.4863421289684875 0.13202812384589224 0.4698702632274325,4.087836102448836
VFKUNRWFAR,21 5 10 20 13 17 22 5 0 17,0.643809478677356 -0.542595131240666 -0.20909582583872588 0.5459671469272818 0.059494958276561594 0.3436786052054994 0.7590921144479006 -0.581635295819543 -0.9287209827060157 0.371168285320723,4.044068406529547
FTRGEFWTWL,5 19 17 6 4 5 22 19 22 11,-0.5967373675748804 0.49382273989840497 0.378330672164948 -0.48767948550351004 -0.6522044561193172 -0.5966771265388562 0.742635737118067 0.49449593496839817 0.7138983016950424 -0.09356409354721129,4.234170313158547
NPJFMZYEFT,13 15 9 5 12 25 24 4 5 19,0.03254882930655856 0.20773623847413947 -0.2376819119967457 -0.6063745603252166 -0.009164297891429474 0.932128480232828 0.8650123712607476 -0.6836310990763033 -0.5764794565954185 0.49876807069309637,3.7521290383957298
FEJRRRFVSF,5 4 9 17 17 17 5 21 18 5,-0.6068353356570027 -0.6619822287250774 -0.29826640972350504 0.31719239455944215 0.3663164100382075 0.3422053903734521 -0.5498791155553575 0.6336726336808332 0.3931724294108565 -0.6085845839842996,4.086117706423092
WTQGYDOVGQ,22 19 16 6 24 3 14 21 6 16,0.7279060595798741 0.48253020069413144 0.23946732609766586 -0.4912799251242894 0.856554736632752 -0.7175034276296941 0.10375981848119964 0.6347863769011897 -0.5011319861978301 0.25093304594486576,4.0284981538894655
OLIRXOSUDI,14 11 8 17 23 14 18 20 3 8,0.12403226696069392 -0.09104424200014538 -0.32146256100125736 0.3078863392440845 0.8031544933193902 0.1389921149744069 0.4596263303854975 0.5531092952508323 -0.7205926886542591 -0.3579983508086588,3.544513587040225
BMHSEXILLV,1 12 7 18 4 23 8 11 11 21,-0.8701814968039472 -0.014175328326771153 -0.4511373729984014 0.4223241708148313 -0.637994088135222 0.7921709402462769 -0.3232974239615205 -0.13675015565670767 -0.12518177925894802 0.6240802463659831,3.726262586135221
KNDGUZCRVW,10 13 3 6 20 25 2 17 21 22,-0.21812254754765603 0.07187658186090307 -0.7190874587028324 -0.47999098011902697 0.5554721374700571 0.9542484594609126 -0.8159582275931092 0.3235238022646505 0.6472135379542348 0.7208872395803076,4.102987024340344
XSPQJGKHCJ,23 18 15 16 9 6 10 7 2 9,0.7801092182191949 0.4271203285829075 0.22751427434218607 0.2563863252392333 -0.24070705436098883 -0.4916972764551275 -0.2292944471407874 -0.4521370646502789 -0.8216414728260306 -0.2378023244080265,3.677827088881085
REZWMYFGOX,17 4 25 22 12 24 5 6 14 23,0.3765836552928765 -0.6574715224803735 0.9274758028507515 0.7037347457397409 -0.049643893833184904 0.9068001887763648 -0.561059337282168 -0.46688811061395175 0.12884268297382406 0.8132639218763007,4.053974126933305
OJLKXNFOWI,14 9 11 10 23 13 5 14 22 8,0.1272419300506782 -0.2562623991457331 -0.08528859938523503 -0.20604097744426397 0.7826449860804312 0.06729541383473658 -0.5915023487605582 0.13438109993974523 0.7392145339654466 -0.3261977734263899,3.085646635926143
NCAROZEYJV,13 2 0 17 14 25 4 24 9 21,0.02966116996180279 -0.8419299462927554 -0.9780059116299695 0.37578066815849986 0.12792948723400377 0.982338402402738 -0.6840740706883501 0.8704074105805837 -0.29666826052769224 0.642839799848606,3.9012918831012233
KNIHTZGQTU,10 13 8 7 19 25 6 16 19 20,-0.16584356850188908 0.018182979579951297 -0.3277431166615927 -0.38891404183875244 0.49200940191309006 0.9713856249025372 -0.5189361092089531 0.23924767150134696 0.5251637130667568 0.5932883778929183,3.815780532952424
RVXTLTFZSI,17 21 23 19 11 19 5 25 18 8,0.31139186480085423 0.679787615460073 0.8459928681132234 0.5093359848809011 -0.12138691716314765 0.4881079978885585 -0.586836761024379 0.9398585819881746 0.3879790211604104 -0.3720446465470655,4.14120685764814
AHMYCUVHLP,0 7 12 24 2 20 21 7 11 15,-0.9832404971097766 -0.42883522822504805 -0.003858826342041377 0.9092413726910427 -0.8152695402332284 0.6153769086039187 0.6553501035151086 -0.4258221651246752 -0.10127835111229544 0.16094117223114313,3.841909990788864
UCIYGICISN,20 2 8 24 6 8 2 8 18 13,0.5485809581160823 -0.7778638046177251 -0.3769885467621674 0.8498196239413458 -0.5215371979707986 -0.3488063840227065 -0.8058513128966001 -0.3609122615805691 0.3868632182189047 0.030629326755359676,4.0495253379133835
PVBDYUJJJI,15 21 1 3 24 20 9 9 9 8,0.1774647820373736 0.6556189621245703 -0.8752632217833922 -0.7156956323840513 0.8554133299868592 0.5703360594705496 -0.26477960096835607 -0.2467823252612109 -0.23924183826070644 -0.36875566604008014,3.890523218234659
YPWAXMLRDP,24 15 22 0 23 12 11 17 3 15,0.8571161590070866 0.20212868541189843 0.7108970733068214 -0.955236745158643 0.7712138423996917 -0.06144468541011183 -0.11275460459148645 0.3813465766735298 -0.7561697902870743 0.18723281647303835,3.5976443678479595
INGYRMGKHS,8 13 6 24 17 12 6 10 7 18,-0.36736133190027354 0.037672834204500294 -0.5083339498410373 0.8657141922310538 0.3684459084842333 -0.04306334108688503 -0.5172339393258241 -0.22068456358902488 -0.39643369219354696 0.43641534316077113,3.610641641107492
FXBMVSTVQV,5 23 1 12 21 18 19 21 16 21,-0.5863707252990402 0.8357246305747372 -0.8896626257362263 -0.06445650760303545 0.6274313010911863 0.417978849754705 0.5122372880260162 0.645287542599758 0.26613703883632667 0.6611106017925468,4.195960004598351
GGCSHITQSN,6 6 2 18 7 8 19 16 18 13,-0.4908726823808378 -0.5283723273760308 -0.8400498750063266 0.4048549965727255 -0.4309939494963555 -0.3566978880391596 0.5365283047029517 0.2598090551344956 0.4324974791411771 0.02961708251090789,3.905992740658132
ZOTKBNBLBQ,25 14 19 10 1 13 1 11 1 16,0.9915082578463732 0.09830806109728596 0.48328174856284134 -0.16763126748062263 -0.8936442903433683 0.03481164611045395 -0.8606791965705483 -0.12025580312270967 -0.8887550469397283 0.25984476224182984,3.326336290156338
SARNRIHZZR,18 0 17 13 17 8 7 25 25 17,0.45247744891714814 -0.9771813764533614 0.32207304655525393 0.043460092335356526 0.33791326477937855 -0.3505976010990812 -0.41540918352478196 0.9965728673680321 0.9849175699635739 0.3511466809527528,4.028660139448519
TMBFPRKBTU,19 12 1 5 15 17 10 1 19 20,0.4682109191392594 -0.06280849557301726 -0.9063610390918222 -0.5734425951519131 0.22780715086240666 0.321815740406038 -0.21913255699250067 -0.8918495238189581 0.5242557674820851 0.5864632836769135,3.9116920715504873
QCRGXRHZWQ,16 2 17 6 23 17 7 25 22 16,0.27382806629260603 -0.8028874179285168 0.34672639892561286 -0.46939938287983196 0.8402115765729989 0.3094789799500477 -0.44196623054833406 0.9256430064044106 0.7103511853248992 0.2982172979342512,4.116243233337656
KMGATFIQUO,10 12 6 0 19 5 8 16 20 14,-0.19595283442175648 -0.045116897443604254 -0.46820451696348386 -0.9537549416258617 0.4967863776109065 -0.5448601930489554 -0.3680667384964027 0.23753182495929637 0.5791186387363734 0.13851442590315588,3.6731302510788564
RTVOEIYBRU,17 19 21 14 4 8 24 1 17 20,0.33459573617272076 0.5373043069358658 0.6384169267455151 0.10471939817858322 -0.6476000267794966 -0.3558148569021278 0.9003317635203067 -0.8871767187428312 0.3643279910879407 0.5705448074742858,4.150725943896042
AGIVEXHZCZ,0 6 8 21 4 23 7 25 2 25,-0.9234637557353607 -0.4794801468052985 -0.36992790257103114 0.6644877275438226 -0.6311320995804499 0.8406041360518852 -0.39609693330494933 0.9327671349158133 -0.8043652933579652 0.9746065246823203,4.449627094814808
QUZXTXMQYA,16 20 25 23 19 23 12 16 24 0,0.25032952892926263 0.5994133905352153 0.9872646699685228 0.8269578358794749 0.46751883793382976 0.8164679096745313 -0.0378468074522782 0.2344621407328138 0.8530946872576899 -0.9435119390934996,3.9575268548557863
ESNZFJXJWN,4 18 13 25 5 9 23 9 22 13,-0.6467679029751272 0.40316819485212196 0.02029851849805553 0.9402647395290229 -0.5432778340371862 -0.2804454602725963 0.8396644641396305 -0.27467713599562704 0.6934109979286773 0.010359156293427763,3.7879812350258573
CEFTINBGDF,2 4 5 19 8 13 1 6 3 5,-0.7828232212902393 -0.6336944716429758 -0.5586720122507103 0.47029816061322705 -0.3480246188411795 0.0673346371012562 -0.9208196694089945 -0.5100054777291603 -0.7660723783177998 -0.5624353549515233,4.26288353822029
SMFUXHDGFS,18 12 5 20 23 7 3 6 5 18,0.3901326577296007 -0.04029012054700187 -0.5779651427891708 0.552981724172203 0.7763648973580026 -0.4006610568403193 -0.7076277988688184 -0.4887820682956836 -0.5993049488144893 0.4028293980808384,4.136448898106583
QWRWSIXJIV,16 22 17 22 18 8 23 9 8 21,0.27600600566967426 0.6933922959116798 0.35782226582696763 0.714902795631962 0.41228432478105925 -0.34268314778824904 0.781224038867844 -0.24060252843790986 -0.3792734241030973 0.6467275529180956,4.015671249444786
CRQFSBEWBD,2 17 16 5 18 1 4 22 1 3,-0.7919069822348064 0.3408503635050648 0.25094038340452496 -0.5610406920465398 0.45887730291133444 -0.9040329450458839 -0.6852843469711221 0.7285778241477676 -0.8804616342847194 -0.7690767384519579,4.331901598051637
ZABGESEBZU,25 0 1 6 4 18 4 1 25 20,0.9990907766061135 -0.9726375425506564 -0.862042790770029 -0.5265167405542512 -0.6253808226476365 0.4013803928598072 -0.6509816290834234 -0.9215001835744554 0.9890435765364085 0.6035206315410613,4.552959221278744
GXHJCFHFUX,6 23 7 9 2 5 7 5 20 23,-0.4833326288580784 0.7981682402538335 -0.45951356433726653 -0.24837481885645563 -0.8218115743042131 -0.5712713297608945 -0.42452428091020455 -0.5562660051397512 0.5732557946240728 0.7696829465134543,4.343035497297347
HQNTXTWZDN,7 16 13 19 23 19 22 25 3 13,-0.41469740056300775 0.30439313988184424 0.0034942640549346926 0.48064258199939913 0.7819714792412529 0.5208130486520228 0.7380725063911979 0.9526423061640081 -0.7282908525317526 0.0023420675463809992,3.9310667937986
AVNGRALNGI,0 21 13 6 17 0 11 13 6 8,-0.9362943302821893 0.6168387986516026 0.0765192652817428 -0.4998663654677056 0.37060481072673745 -0.9345468896441858 -0.10152758586662602 0.07256863396173086 -0.5292028368033659 -0.351425022763157,3.731961994806998
LGOIBHUFSR,11 6 14 8 1 7 20 5 18 17,-0.15202394798701468 -0.4753711982621107 0.08554579565246212 -0.3284641849959462 -0.8819152716002385 -0.4301185840376218 0.5692556286592856 -0.5625210761102106 0.4428893039574944 0.3260031401595038,3.825683095619397
CRLOKHVZHM,2 17 11 14 10 7 21 25 7 12,-0.8044690801312613 0.3399617431275337 -0.11644290943940994 0.1259848731869846 -0.16083556228499685 -0.41672788722959186 0.6737664780001109 0.9619931266539392 -0.42748745574776614 -0.04471062068313847,3.481472316735275
LQGHOVAWUK,11 16 6 7 14 21 0 22 20 10,-0.12278122975165884 0.2447042730723339 -0.523792942993315 -0.3864384562122938 0.13307203762744657 0.6164319181060074 -0.9491312992171672 0.7539602473977938 0.5598158472661621 -0.16011506718774093,3.7417618941743425
CGFTRPTYQN,2 6 5 19 17 15 19 24 16 13,-0.7968499869411503 -0.4898464272091896 -0.5900691689448425 0.47479528509165103 0.3309304909310067 0.17035569128241468 0.5243508643977284 0.8822964303165941 0.3047917871651369 0.06396137186893025,3.9038714019562026
TNAKXCPFPC,19 13 0 10 23 2 15 5 15 2,0.5008196647341319 0.05539539486403866 -0.9652334947680004 -0.15861458375064896 0.7785168659495882 -0.8390558278728979 0.16742082736059594 -0.5441661712764059 0.1661344215619156 -0.7729370589970559,3.676246846098938
GJFALFOJPH,6 9 5 0 11 5 14 9 15 7,-0.5288103821457124 -0.2848694048771674 -0.5632874956347067 -0.9866922450384545 -0.08626584185788944 -0.5998652888939513 0.1029688800292814 -0.2858572387808984 0.16669415232044527 -0.4380085613212583,3.6479554355146147
NQBZZVUNUX,13 16 1 25 25 21 20 13 20 23,0.031021720129907226 0.3045505361860006 -0.8612241507469982 0.9237678587474363 0.9514098824709658 0.6299992466126638 0.5789150937811753 0.00959473279027856 0.5771826335217729 0.8458546565173928,3.9446703911000722
WEBRTVIEEG,22 4 1 17 19 21 8 4 4 6,0.7053783182384377 -0.6169267291539535 -0.9137187416691799 0.3651744653052289 0.509524875494499 0.6313969122138672 -0.3246250086038567 -0.6209275221705612 -0.6557054575053467 -0.4827075850335645,4.404366064402062
OFLFATCUUG,14 5 11 5 0 19 2 20 20 6,0.12838001681416622 -0.5704049529320565 -0.15211003667590295 -0.5950569501119181 -0.9981273259720174 0.5167683514655439 -0.8408475790024108 0.5797752738650925 0.5604187123020694 -0.49912423812698115,4.214813623081032
